Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Wed, Jul 8, 2015",,,11:31,11:31,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jul 8, 2015",,,11:25,11:25,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jul 8, 2015",,,10:44,10:44,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, Jul 8, 2015",KBED,KBED,10:00,10:42,0.67 hrs,0.40 hrs,42.30 nm,7.25 gal,10.82 gal/hr,0.17 gal/nm,1245 msl,101 kts
"Mon, Jul 6, 2015",KTEB,KBED,18:22,20:18,1.81 hrs,1.56 hrs,246.88 nm,28.06 gal,15.53 gal/hr,0.11 gal/nm,7009 msl,148 kts
"Mon, Jul 6, 2015",KBED,KTEB,07:22,11:22,1.28 hrs,1.06 hrs,171.01 nm,21.41 gal,16.79 gal/hr,0.13 gal/nm,6014 msl,154 kts
"Sat, Jul 4, 2015",KMVY,KBED,00:38,01:33,0.89 hrs,0.53 hrs,81.40 nm,11.20 gal,12.66 gal/hr,0.14 gal/nm,4011 msl,148 kts
"Fri, Jul 3, 2015",KBED,KMVY,17:38,18:33,0.86 hrs,0.50 hrs,80.93 nm,12.03 gal,13.96 gal/hr,0.15 gal/nm,5522 msl,154 kts
"Fri, Jul 3, 2015",KBED,KBED,17:22,17:31,0.16 hrs,0.00 hrs,0.00 nm,0.01 gal,0.10 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Jul 3, 2015",,,13:03,17:05,0.04 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Jul 3, 2015",,,12:50,12:53,0.05 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Jul 2, 2015",,,22:08,22:08,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Jul 2, 2015",KHVN,KBED,20:29,21:32,1.01 hrs,0.76 hrs,118.54 nm,12.37 gal,12.26 gal/hr,0.10 gal/nm,5013 msl,150 kts
