Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Sat, Oct 31, 2015",KBED,KBED,14:30,14:31,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Oct 27, 2015",KBED,KBED,12:21,17:14,0.86 hrs,0.46 hrs,68.12 nm,20.89 gal,24.34 gal/hr,0.31 gal/nm,6621 msl,142 kts
"Tue, Oct 27, 2015",KBED,KBED,12:09,12:11,0.02 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Oct 27, 2015",KASH,KBED,08:21,08:52,0.51 hrs,0.22 hrs,30.98 nm,3.89 gal,7.62 gal/hr,0.13 gal/nm,2210 msl,134 kts
"Mon, Oct 26, 2015",KASH,KASH,13:01,13:10,0.16 hrs,0.00 hrs,0.00 nm,0.90 gal,5.81 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Oct 24, 2015",KASH,KASH,16:35,16:42,0.11 hrs,0.00 hrs,0.00 nm,0.69 gal,6.20 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Oct 24, 2015",KASH,KASH,16:05,16:27,0.37 hrs,0.00 hrs,0.00 nm,1.28 gal,3.44 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Oct 24, 2015",,,16:03,16:03,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Oct 24, 2015",KASH,KASH,16:01,16:01,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Oct 24, 2015",KASH,KASH,15:41,15:41,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sun, Oct 18, 2015",KBED,KASH,12:14,12:46,0.54 hrs,0.20 hrs,22.55 nm,3.45 gal,6.41 gal/hr,0.15 gal/nm,2741 msl,114 kts
"Sun, Oct 18, 2015",,,11:48,11:48,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Fri, Oct 16, 2015",KBED,KBED,12:11,12:23,0.2 hrs,0.00 hrs,0.00 nm,1.18 gal,6.04 gal/hr,0.00 gal/nm,0 msl,0 kts
"Tue, Oct 13, 2015",1G5,KBED,16:49,19:51,2.89 hrs,2.71 hrs,497.96 nm,41.89 gal,14.49 gal/hr,0.08 gal/nm,11010 msl,176 kts
"Tue, Oct 13, 2015",0I4,1G5,13:36,16:31,2.79 hrs,2.54 hrs,486.13 nm,41.77 gal,14.97 gal/hr,0.09 gal/nm,11013 msl,183 kts
"Tue, Oct 13, 2015",KSBS,0I4,08:47,13:09,4.16 hrs,3.86 hrs,684.22 nm,62.95 gal,15.13 gal/hr,0.09 gal/nm,11504 msl,169 kts
"Tue, Oct 13, 2015",KSBS,KSBS,08:24,08:24,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, Oct 10, 2015",KSBS,KSBS,12:27,13:30,1 hrs,0.75 hrs,115.76 nm,14.65 gal,14.60 gal/hr,0.13 gal/nm,12515 msl,149 kts
"Sat, Oct 10, 2015",KSBS,KSBS,11:53,11:53,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Oct 8, 2015",KOKS,KSBS,18:20,19:54,1.46 hrs,1.33 hrs,236.39 nm,26.79 gal,18.41 gal/hr,0.11 gal/nm,12014 msl,166 kts
"Thu, Oct 8, 2015",KAWG,KOKS,14:40,17:57,3.17 hrs,2.96 hrs,485.05 nm,55.66 gal,17.55 gal/hr,0.11 gal/nm,6529 msl,159 kts
"Thu, Oct 8, 2015",1G5,KAWG,10:53,14:07,3.12 hrs,2.87 hrs,456.32 nm,54.22 gal,17.41 gal/hr,0.12 gal/nm,6514 msl,154 kts
"Thu, Oct 8, 2015",KBED,KBED,10:40,10:47,0.11 hrs,0.00 hrs,0.00 nm,0.26 gal,2.34 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Oct 8, 2015",,,10:04,10:04,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, Oct 8, 2015",KBED,1G5,07:23,11:23,3.35 hrs,2.94 hrs,487.74 nm,5.70 gal,1.70 gal/hr,0.01 gal/nm,6732 msl,158 kts
"Wed, Oct 7, 2015",KCON,KBED,19:39,20:23,0.72 hrs,0.41 hrs,58.27 nm,7.20 gal,9.96 gal/hr,0.12 gal/nm,3414 msl,139 kts
"Wed, Oct 7, 2015",KBED,KCON,17:37,19:14,1.57 hrs,1.22 hrs,155.29 nm,18.22 gal,11.58 gal/hr,0.12 gal/nm,6598 msl,124 kts
"Wed, Oct 7, 2015",KBED,KBED,17:15,17:16,0.01 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
